flagged,frequency,predicted,date,running_avg
WannaCry,2,1.0,2018-12-28,1.0
Alexa,2,0.0,2018-12-28,0.0
AMCleanerCA,1,1.0,2018-12-28,1.0
JungleSec,1,1.0,2018-12-28,1.0
Shamoon,1,1.0,2018-12-28,1.0
TCFake,1,1.0,2018-12-28,1.0
Trickbot,1,1.0,2018-12-28,1.0
VPNFilter,1,1.0,2018-12-28,1.0
Borg,1,0.0,2018-12-28,0.0
Gostei,1,0.0,2018-12-28,0.0
IoTSecurity,1,0.0,2018-12-28,0.0
KEYone,1,0.0,2018-12-28,0.0
Mancave,1,0.0,2018-12-28,0.0
Miguel,1,0.0,2018-12-28,0.0
TechTalks,1,0.0,2018-12-28,0.0
WannaCry,11,1.0,2018-12-29,1.0
Diego,11,0.5454545454545454,2018-12-29,0.5454545454545454
Shamoon,10,1.0,2018-12-29,1.0
Emotet,5,1.0,2018-12-29,1.0
Fruitfly,5,1.0,2018-12-29,1.0
JungleSec,5,1.0,2018-12-29,1.0
Forbes,5,0.0,2018-12-29,0.0
Loaris,4,1.0,2018-12-29,1.0
SamSam,4,1.0,2018-12-29,1.0
AppEsteem,4,0.25,2018-12-29,0.25
Sony,4,0.25,2018-12-29,0.25
Fileless,3,1.0,2018-12-29,1.0
Meterpreter,3,1.0,2018-12-29,1.0
NotPetya,3,1.0,2018-12-29,1.0
Denuvo,3,0.3333333333333333,2018-12-29,0.3333333333333333
Alexa,3,0.0,2018-12-29,0.0
CenturyLink,3,0.0,2018-12-29,0.0
SunTrust,3,0.0,2018-12-29,0.0
CCleaner,2,1.0,2018-12-29,1.0
Mirai,2,1.0,2018-12-29,1.0
ThreatList,2,1.0,2018-12-29,1.0
10News,2,0.5,2018-12-29,0.5
Hana,2,0.5,2018-12-29,0.5
ComputerWorld,2,0.0,2018-12-29,0.0
Donald,2,0.0,2018-12-29,0.0
DreamPort,2,0.0,2018-12-29,0.0
Farbar,2,0.0,2018-12-29,0.0
GrassDew,2,0.0,2018-12-29,0.0
HackersDude,2,0.0,2018-12-29,0.0
Jodi,2,0.0,2018-12-29,0.0
Nana,2,0.0,2018-12-29,0.0
Prestashop,2,0.0,2018-12-29,0.0
Seedworm,2,0.0,2018-12-29,0.0
Addabi,1,1.0,2018-12-29,1.0
Anarklik,1,1.0,2018-12-29,1.0
Arkei,1,1.0,2018-12-29,1.0
Bita,1,1.0,2018-12-29,1.0
BleepinComputer,1,1.0,2018-12-29,1.0
Chatfuk,1,1.0,2018-12-29,1.0
Crazz,1,1.0,2018-12-29,1.0
Crinkler,1,1.0,2018-12-29,1.0
Cryptominer,1,1.0,2018-12-29,1.0
Cryptor,1,1.0,2018-12-29,1.0
Delan,1,1.0,2018-12-29,1.0
Fisher85M,1,1.0,2018-12-29,1.0
GandCrab,1,1.0,2018-12-29,1.0
Gaster,1,1.0,2018-12-29,1.0
GetUserDefaultLangID,1,1.0,2018-12-29,1.0
Hacktool,1,1.0,2018-12-29,1.0
Hancitor,1,1.0,2018-12-29,1.0
Hotmailhack,1,1.0,2018-12-29,1.0
Jaku,1,1.0,2018-12-29,1.0
Kraken,1,1.0,2018-12-29,1.0
KraussMaffei,1,1.0,2018-12-29,1.0
MSNError,1,1.0,2018-12-29,1.0
Musil,1,1.0,2018-12-29,1.0
Nestea,1,1.0,2018-12-29,1.0
NewLive,1,1.0,2018-12-29,1.0
Regin,1,1.0,2018-12-29,1.0
RiskTool,1,1.0,2018-12-29,1.0
Sikorski,1,1.0,2018-12-29,1.0
Simplelocker,1,1.0,2018-12-29,1.0
Spora,1,1.0,2018-12-29,1.0
Steven,1,1.0,2018-12-29,1.0
StockaWiki,1,1.0,2018-12-29,1.0
Stoof,1,1.0,2018-12-29,1.0
Swood,1,1.0,2018-12-29,1.0
TGun,1,1.0,2018-12-29,1.0
TechSpotWannaCry,1,1.0,2018-12-29,1.0
Th0r,1,1.0,2018-12-29,1.0
TomTom,1,1.0,2018-12-29,1.0
Troldesh,1,1.0,2018-12-29,1.0
VACv2,1,1.0,2018-12-29,1.0
VChip,1,1.0,2018-12-29,1.0
